Table: Table_1

COURSE ,2016-2017 ,GRD ,CREDIT ,
Algebra 1 Part E ,,A ,1.000 ,
Algebra ,,Ae ,1.000 ,
Biology ,,B ,1.000 ,
Cont Wired Cult Honor ,,B- ,1.000 ,
English 10 ,,C ,1.000 ,
Entrepreneur ,,A ,0.500 ,
Independent Living ,,B+ ,0.500 ,
Spanist ,,B+ ,1.000 ,
Studio 1 ,,A ,0.500 ,
Team Sports ,,A ,0.500 ,





Table: Table_2

,4pt UnWat ,4pt Wet ,4pe Wet lwip) ,,Cmp ,
Trade 12 ,3.665 ,4155 ,3.792 ,1.000 ,1.000 ,
Career ,3.326 ,3.479 ,3.500 ,25.000 ,25.000 ,





Table: Table_3

Grade 11 2017-2018 ,,,
COURSE ,GRD ,CREDIT ,
Accounting ,B+ ,1.000 ,
Business Law ,A ,0.500 ,
Chemistry E ,B+ ,1.000 ,
Driver Education/Hlealt ,A ,0.500 ,
English 11 ,B+ ,1.000 ,
Mod Geo Honors ,D+ ,1.000 ,
SAT Prep ,B ,0.500 ,
Spanish Honors ,B+ ,1.000 ,
Team Sports ,A+ ,0.500 ,
West Civ Honors ,Ar ,1.000 ,





Table: Table_4

2015-2016 ,,,
COURSE ,GRD ,CREDIT ,
20 Design ,A ,0.500 ,
Algebra ,B ,1.000 ,
American History ,A ,1.000 ,
Career Discovery ,A ,0.500 ,
Earth & Environ Science ,B ,1.000 ,
Englist 9 ,C+ ,1.000 ,
Intro Graph Language ,B+ ,0.500 ,
Intro To Computer ,A ,0.500 ,
Lifetime Sports ,A ,0.500 ,
Spanish ,B+ ,1.000 ,
Team Sports ,A ,0.500 ,





Table: Table_5

,UnWat ,,,,
Trade 09 ,3.416 ,3.416 ,8.000 ,8.000 ,
Career ,3.416 ,3.416 ,8.000 ,8.000 ,





Table: Table_6

COURSE ,1 ,2 MT ,
Accounting ,A ,A, ,
Digital Phatograpty ,,,
English 12 ,B- ,,
Health/Physica Ed ,,,
Hom Principles of Dumoeracy ,O+ ,A. ,
Human Antmy & Physlogy Ho ,B ,B- ,
Painting ,,,
Probistatities Honors ,,,
Spanish I Honors ,B ,,
Trig & Advance Math Honor ,Re ,B ,





Table: Table_7

,UnWat ,,,,
Trade 11 ,3.228 ,3.520 ,8.000 ,8.000 ,
Career ,3.312 ,3.451 ,24.000 ,24.000 ,





